U  I_дел
0.05  0
2.10  2
4.03  4
6.08  7
8.03  10
10.05 13
12.09 16
14.06 18
16.18 21
16.81 22
17.21 22
17.98 23
18.35 23
19.27 24
20.12 23
20.58 23
21.56 22
22.03 21
22.13 19
22.17 18
22.21 18
23.01 14
23.63 13
24.29 13
25.03 15
25.56 16
26.17 18
26.65 19
27.08 20
28.26 22
29.15 24
30.01 26
31.12 29
32.26 31
32.96 33
33.37 34
34.06 36
34.40 36
35.05 38
35.32 38
35.95 39
36.25 39
36.92 39
37.46 39
38.10 39
38.83 39
39.11 39
39.55 38
40.08 37
40.45 37
41.02 36
41.94 35
43.12 34
44.12 33
45.12 33
45.51 34
46.22 34
47.10 34
48.07 35
49.13 36
50.19 37
