P   N
745 3858
745 3753
745 3814
740 3804
740 3755
740 3834
720 3516
720 3438
720 3404
695 3149
695 3075
695 3126
680 2792
680 2795
680 2775
660 2440
660 2501
660 2507
640 2068
640 2027
640 2034
620 1725
620 1610
620 1698
600 1212
600 1248
600 1230
580 829
580 755
580 803
560 524
560 468
560 518
540 273
540 290
540 271
520 135
520 153
520 166
500 111
500 93
500 89
480 80
480 70
480 78
460 53
460 43
460 39
435 3
435 2
435 4
420 5
420 5
420 4
400 1
400 6
400 4
350 3
350 3
350 5
300 4
300 1
300 4
200 2
200 7
200 3
100 4
100 3
100 3
0   1
0   1
0   2
455 43
455 35
455 32
450 11
450 20
450 10
445 7
445 11
445 8
440 4
440 3
440 4
