P   I
0   990
745 5
735 26
720 46
710 63
705 70
700 76
695 87
690 97
985 105
680 113
675 120
670 128
665 135
660 145
655 147
650 158
645 168
640 174
635 181
630 191
625 196
620 204
615 213
610 222
605 229
600 235
595 244
590 252
585 260
580 272
575 280
570 286
560 305
550 320
540 340
530 354
520 370
510 388
500 402
490 421
480 440
470 457
460 480
450 495
440 515
430 531
420 550
410 572
400 596
390 612
380 629
370 649
360 677
350 695
340 718
330 741
320 755
310 785
300 810
290 828
280 850
270 870
260 888
250 910
240 930
230 949
220 968
210 983
200 994
190 1007
180 1017
170 1023
160 1025
150 1023
140 1023
130 1021
110 1018
100 1017
90  1010
80  1007
70  1005
60  1003
50  999
30  998
20  994
10  990
0   986
